ID_Supabase;SKU;Nombre;Gama;Subcategoria;Peso (kg/g);PVP;Precio Base (PVD);Ruta Foto Actual;Foto Correcta?;Ruta CORRECTA de Foto;
e706f3e6-9eea-42e5-98e6-8891d405dc49;ATP-038;ATLANTIC PET ULTRA BLUE OCEANIC 2KG;ULTRA PREMIUN GRAIN FREE;Alimentaci贸n seca;2KG;13.99;8.39;public/images/productos/ATP-038.jpg;;;
c21a2201-b7a5-4629-8efb-1896fbe8afc0;ATP-039;ATLANTIC PET ULTRA GREEN GRASSLAND CONEJO 12KG;ULTRA PREMIUN GRAIN FREE;Alimentaci贸n seca;12KG;62.99;37.99;public/images/productos/ATP-039.jpg;;;
407a95ae-2c0b-4898-876d-80d1548cc99e;ATP-040;ATLANTIC PET ULTRA GREEN GRASSLAND CONEJO 2KG;ULTRA PREMIUN GRAIN FREE;Alimentaci贸n seca;2KG;13.99;8.39;public/images/productos/ATP-040.jpg;;;
faaba852-6c6b-4140-ac09-9e19f3a7ac43;ATP-041;ATLANTIC PET ULTRA GREEN GRASSLAND MINI CONEJO 1.5KG;ULTRA PREMIUN GRAIN FREE;Alimentaci贸n seca;1.5KG;11.99;7.19;C:\Users\truji\OneDrive\PERSONAL\Im醙enes\Fotos productos\Atlanctic Pet\Perros\ULTRA PREMIUN GRAIN FREE\atpimagen10-600x600.png perro.webp;;;
419be52c-b1a0-40ca-bb9e-280d95c2aea4;ATP-042;ATLANTIC PET ULTRA GREEN GRASSLAND MINI CONEJO 6KG;ULTRA PREMIUN GRAIN FREE;Alimentaci贸n seca;6KG;34.99;20.99;C:\Users\truji\OneDrive\PERSONAL\Im醙enes\Fotos productos\Atlanctic Pet\Perros\ULTRA PREMIUN GRAIN FREE\atpimagen10-600x600.png perro.webp;;;
f351916a-4b79-4d09-b0b3-f1c4b6aa77c5;ATP-009;ATLANTIC PET ULTRA SKIN&COAT SALMON 12KG;ULTRA PREMIUN GRAIN FREE;Alimentaci贸n seca;12KG;62.99;37.99;public/images/productos/ATP-009.jpg;;;
cb4685b2-f5eb-4345-8a9f-ee2d94057beb;ATP-010;ATLANTIC PET ULTRA SKIN&COAT SALMON 2KG;ULTRA PREMIUN GRAIN FREE;Alimentaci贸n seca;2KG;13.99;8.39;public/images/productos/ATP-010.jpg;;;
ffe463d2-edc0-4bf5-a84a-c5c8b2726e82;ATP-043;ATLANTIC PET ULTRA WILDERNESS ADULT 12KG;ULTRA PREMIUN GRAIN FREE;Alimentaci贸n seca;12KG;51.99;31.19;public/images/productos/ATP-043.jpg;;;
a676714d-f155-4554-b436-54f9e48a39da;ATP-044;ATLANTIC PET ULTRA WILDERNESS ADULT 2KG;ULTRA PREMIUN GRAIN FREE;Alimentaci贸n seca;2KG;11.99;7.19;public/images/productos/ATP-044.jpg;;;
8bcbf9c1-7630-41de-83cc-36b193087d9a;ATP-045;ATLANTIC PET ULTRA WILDERNESS PUPPY-STARTER 12KG;ULTRA PREMIUN GRAIN FREE;Alimentaci贸n seca;12KG;56.99;34.19;public/images/productos/ATP-045.jpg;;;
c48b3af3-19ec-448c-8c38-e00b3ac5a09c;ATP-046;ATLANTIC PET ULTRA WILDERNESS PUPPY-STARTER 2KG;ULTRA PREMIUN GRAIN FREE;Alimentaci贸n seca;2KG;12.99;7.99;public/images/productos/ATP-046.jpg;;;
24aeb9b0-98f8-4a92-b31e-29ca19280fab;ATP-011;ATLANTICPET RECETA CAT ADULT CHICKEN & SALMON 3KG;PREMIUN RECETA GATOS;Alimentaci贸n seca;3KG;9.99;6.19;public/images/productos/ATP-011.jpg;;;
3721e955-f529-4fea-8c2f-c4052e3fb5ac;ATP-012;ATLANTICPET RECETA CAT ADULT CHICKEN & SALMON 7KG;PREMIUN RECETA GATOS;Alimentaci贸n seca;7KG;31.99;18.59;public/images/productos/ATP-012.jpg;;;
ec3b96d4-9881-40c2-80eb-a2afc36ab761;ATP-013;ATLANTICPET RECETA CAT STERILICED CHICKEN 3KG;PREMIUN RECETA GATOS;Alimentaci贸n seca;3KG;10.99;6.81;C:\Users\truji\OneDrive\PERSONAL\Im醙enes\Fotos productos\Atlanctic Pet\Gatos\PREMIUN RECETA GATOS\atpimagen7-600x600.png gato.webp;;;
141c4317-9a70-47e8-af4f-7e3daadb119c;ATP-014;ATLANTICPET RECETA CAT STERILICED CHICKEN 7KG;PREMIUN RECETA GATOS;Alimentaci贸n seca;7KG;32.99;20.45;C:\Users\truji\OneDrive\PERSONAL\Im醙enes\Fotos productos\Atlanctic Pet\Gatos\PREMIUN RECETA GATOS\atpimagen7-600x600.png gato.webp;;;
2693037b-5601-459b-b2cb-cf3b164352c1;ATP-047;ATLANTICPET ULTRA PREMIUM GRAIN FREE CAT CHICKEN ADULT 1.5KG;ULTRA PREMIUN RECETA GRAIN FREE;Alimentaci贸n seca;1.5KG;12.99;7.79;C:\Users\truji\OneDrive\PERSONAL\Im醙enes\Fotos productos\Atlanctic Pet\Gatos\ULTRA PREMIUN RECETA GRAIN FREE\Captura-de-pantalla-2025-03-20-092103-400x400.png gato.webp;;;
7b89ee3b-8407-4f45-9125-ac81eca303e8;ATP-048;ATLANTICPET ULTRA PREMIUM GRAIN FREE CAT CHICKEN ADULT 6KG;ULTRA PREMIUN RECETA GRAIN FREE;Alimentaci贸n seca;6KG;36.99;22.19;C:\Users\truji\OneDrive\PERSONAL\Im醙enes\Fotos productos\Atlanctic Pet\Gatos\ULTRA PREMIUN RECETA GRAIN FREE\Captura-de-pantalla-2025-03-20-092103-400x400.png gato.webp;;;
c42bcb70-28af-412f-89e1-36949d07ac97;ATP-049;ATLANTICPET ULTRA PREMIUM GRAIN FREE CAT CHICKEN KITTEN 1.5kG;ULTRA PREMIUN RECETA GRAIN FREE;Alimentaci贸n seca;1.5KG;13.99;8.39;public/images/productos/ATP-049.jpg;;;
380209cb-58e2-4767-909c-bd7ed14ed8fa;ATP-050;ATLANTICPET ULTRA PREMIUM GRAIN FREE CAT EXQUISITE 1.5KG;ULTRA PREMIUN RECETA GRAIN FREE;Alimentaci贸n seca;1.5KG;13.99;8.39;C:\Users\truji\OneDrive\PERSONAL\Im醙enes\Fotos productos\Atlanctic Pet\Gatos\ULTRA PREMIUN RECETA GRAIN FREE\WhatsApp-Image-2026-01-25-at-15.00.31-600x600 gato.webp;;;
75c03ad5-f879-4abd-9296-c9d1adc9e573;ATP-051;ATLANTICPET ULTRA PREMIUM GRAIN FREE CAT EXQUISITE 6KG;ULTRA PREMIUN RECETA GRAIN FREE;Alimentaci贸n seca;6KG;39.99;23.99;C:\Users\truji\OneDrive\PERSONAL\Im醙enes\Fotos productos\Atlanctic Pet\Gatos\ULTRA PREMIUN RECETA GRAIN FREE\WhatsApp-Image-2026-01-25-at-15.00.31-600x600 gato.webp;;;
de63cca4-abde-4449-8e79-8388caa70c8b;ATP-052;ATLANTICPET ULTRA PREMIUM GRAIN FREE CAT MONOPROTEICO SALM脫N STERILISED 1.5KG;ULTRA PREMIUN RECETA GRAIN FREE;Alimentaci贸n seca;1.5KG;13.99;8.39;C:\Users\truji\OneDrive\PERSONAL\Im醙enes\Fotos productos\Atlanctic Pet\Gatos\ULTRA PREMIUN RECETA GRAIN FREE\Captura-de-pantalla-2025-03-20-092003-400x400.png gato.webp;;;
9fe4f415-6f38-4793-9900-56ee8fbc40bf;ATP-053;ATLANTICPET ULTRA PREMIUM GRAIN FREE CAT MONOPROTEICO SALM脫N STERILISED 6KG;ULTRA PREMIUN RECETA GRAIN FREE;Alimentaci贸n seca;6KG;39.99;23.29;C:\Users\truji\OneDrive\PERSONAL\Im醙enes\Fotos productos\Atlanctic Pet\Gatos\ULTRA PREMIUN RECETA GRAIN FREE\Captura-de-pantalla-2025-03-20-092003-400x400.png gato.webp;;;
4f74bfa7-0cf6-4c79-97d3-4e6001d6765c;ATP-015;ATLANTICPET ULTRA PREMIUM GRAIN FREE CAT STERILISED RABBIT 1.5KG;ULTRA PREMIUN RECETA GRAIN FREE;Alimentaci贸n seca;1.5KG;14.99;8.99;C:\Users\truji\OneDrive\PERSONAL\Im醙enes\Fotos productos\Atlanctic Pet\Gatos\ULTRA PREMIUN RECETA GRAIN FREE\WhatsApp-Image-2026-01-25-at-15.00.19-400x400 gato.webp;;;
9c2e49a0-aa50-4710-b50c-e87af0cb980f;ATP-016;ATLANTICPET ULTRA PREMIUM GRAIN FREE CAT STERILISED RABBIT 6KG;ULTRA PREMIUN RECETA GRAIN FREE;Alimentaci贸n seca;6KG;44.99;26.99;C:\Users\truji\OneDrive\PERSONAL\Im醙enes\Fotos productos\Atlanctic Pet\Gatos\ULTRA PREMIUN RECETA GRAIN FREE\WhatsApp-Image-2026-01-25-at-15.00.19-400x400 gato.webp;;;
8b576051-9226-4c25-8c72-54ae49546a20;ATP-054;ATLANTICPET ULTRA PREMIUM GRAIN FREE CAT CHICKEN KITTEN 6KG;ULTRA PREMIUN GRAIN FREE;Alimentaci贸n seca;6KG;39.99;23.99;C:\Users\truji\OneDrive\PERSONAL\Im醙enes\Fotos productos\Atlanctic Pet\Gatos\ULTRA PREMIUN RECETA GRAIN FREE\AF_GATOS_6KG_2025_KITTEN_SIN_FONDO-400x400.png gato.webp;;;
